"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
6,950;-0,02;0,01;-0,13
6,960;-0,02;-9,39E-4;0,24
6,970;-0,02;0,01;0,82
6,980;-0,02;0,03;0,75
6,990;-0,02;0,03;0,35
7,000;-0,02;0,03;0,18
7,010;-0,02;0,03;0,28
7,020;-0,02;0,03;0,34
7,030;-0,02;0,04;0,29
7,040;-0,02;0,04;0,21
7,050;-0,01;0,04;-0,03
7,060;-0,01;0,04;-0,24
7,070;-0,01;0,03;-0,25
7,080;-0,01;0,03;-0,10
7,090;-0,01;0,03;-2,05E-14
7,100;-0,01;0,03;-3,64E-14
7,110;-0,01;0,03;-3,99E-14
7,120;-0,01;0,03;0,00
7,130;-0,01;0,03;-0,04
7,140;-0,01;0,03;-0,14
7,150;-0,01;0,03;-0,23
7,160;-0,01;0,03;-0,29
7,170;-0,01;0,03;-0,28
7,180;-0,01;0,02;-0,33
7,190;-0,01;0,02;-0,38
7,200;-0,01;0,01;-0,39
7,210;-0,01;0,01;-0,33
7,220;-0,01;0,01;-0,33
7,230;-0,01;0,01;-0,43
7,240;-0,01;4,82E-4;-0,49
7,250;-0,01;-0,01;-0,40
7,260;-0,01;-0,01;-0,16
7,270;-0,01;-0,01;0,05
7,280;-0,01;-0,01;0,06
7,290;-0,01;-0,01;-0,09
7,300;-0,01;-0,01;-0,20
7,310;-0,01;-0,01;-0,15
7,320;-0,01;-0,01;-0,09
7,330;-0,01;-0,01;-0,14
7,340;-0,01;-0,01;-0,20
7,350;-0,01;-0,02;-0,11
7,360;-0,01;-0,02;0,08
7,370;-0,01;-0,01;0,24
7,380;-0,01;-0,01;0,25
7,390;-0,01;-0,01;0,15
7,400;-0,01;-0,01;0,09
7,410;-0,01;-0,01;0,14
7,420;-0,01;-0,01;0,24
7,430;-0,01;0,00;0,20
7,440;-0,01;2,40E-4;0,05
7,450;-0,01;0,00;0,03
7,460;-0,01;0,00;0,23
7,470;-0,01;0,00;0,35
7,480;-0,01;0,01;0,11
7,490;-0,01;0,01;-0,12
7,500;-0,01;-4,79E-4;0,12
7,510;-0,01;0,00;0,45
7,520;-0,01;0,02;0,23
7,530;-0,01;0,02;-0,29
7,540;-0,01;0,00;-0,27
7,550;-0,01;0,00;0,20
7,560;-0,01;0,01;0,15
