"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
7,440;0,00;-0,56;-0,75
7,450;-0,01;-0,57;-0,37
7,460;-0,01;-0,57;0,08
7,470;-0,02;-0,57;0,28
7,480;-0,02;-0,56;0,35
7,490;-0,03;-0,56;0,77
7,500;-0,04;-0,55;1,42
7,510;-0,04;-0,53;1,69
7,520;-0,05;-0,51;1,49
7,530;-0,05;-0,50;1,45
7,540;-0,06;-0,49;1,96
7,550;-0,06;-0,46;2,06
7,560;-0,07;-0,43;1,30
7,570;-0,07;-0,44;1,22
7,580;-0,07;-0,44;3,10
7,590;-0,08;-0,38;5,68
7,600;-0,08;-0,30;6,09
7,610;-0,08;-0,24;4,35
7,620;-0,09;-0,22;2,97
7,630;-0,09;-0,20;2,95
7,640;-0,09;-0,16;3,33
7,650;-0,09;-0,12;2,89
7,660;-0,09;-0,10;2,50
7,670;-0,09;-0,09;3,16
7,680;-0,09;-0,05;3,97
7,690;-0,10;0,01;3,89
7,700;-0,09;0,04;3,51
7,710;-0,09;0,06;4,65
7,720;-0,09;0,12;6,03
7,730;-0,09;0,22;5,03
7,740;-0,09;0,25;2,93
7,750;-0,09;0,23;2,40
7,760;-0,09;0,28;3,81
