"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1"
9,600;0,14;-0,24
9,610;0,14;-0,21
9,620;0,14;-0,16
9,630;0,14;-0,13
9,640;0,13;-0,11
9,650;0,13;-0,09
9,660;0,13;-0,07
9,670;0,13;-0,05
9,680;0,13;-0,04
9,690;0,13;-0,02
9,700;0,13;0,00
9,710;0,13;0,01
9,720;0,13;0,03
9,730;0,13;0,05
9,740;0,13;0,07
9,750;0,13;0,08
9,760;0,13;0,10
9,770;0,14;0,12
9,780;0,14;0,13
9,790;0,14;0,15
9,800;0,14;0,20
9,810;0,14;0,25
9,820;0,15;0,25
9,830;0,15;0,23
9,840;0,15;0,21
9,850;0,15;0,22
9,860;0,15;0,23
9,870;0,16;0,23
9,880;0,16;0,25
9,890;0,16;0,20
9,900;0,16;0,15
9,910;0,16;0,16
9,920;0,17;0,23
9,930;0,17;0,29
9,940;0,17;0,30
9,950;0,17;0,30
9,960;0,18;0,30
9,970;0,18;0,30
9,980;0,18;0,31
9,990;0,19;0,26
10,000;0,19;0,21
10,010;0,19;0,21
10,020;0,19;0,26
10,030;0,20;0,31
10,040;0,20;0,31
10,050;0,20;0,31
10,060;0,21;0,31
10,070;0,21;0,31
10,080;0,21;0,30
10,090;0,21;0,30
10,100;0,22;0,29
10,110;0,22;0,29
10,120;0,22;0,28
10,130;0,23;0,27
10,140;0,23;0,26
10,150;0,23;0,25
10,160;0,23;0,24
10,170;0,24;0,23
10,180;0,24;0,22
10,190;0,24;0,21
10,200;0,24;0,20
10,210;0,24;0,18
10,220;0,25;0,17
10,230;0,25;0,16
10,240;0,25;0,14
10,250;0,25;0,13
10,260;0,25;0,11
10,270;0,25;0,10
10,280;0,25;0,08
10,290;0,25;0,07
10,300;0,25;0,06
10,310;0,26;0,04
10,320;0,26;0,02
10,330;0,26;0,00
10,340;0,26;-0,01
10,350;0,26;-0,02
10,360;0,26;-0,04
10,370;0,25;-0,05
10,380;0,25;-0,07
10,390;0,25;-0,08
10,400;0,25;-0,10
10,410;0,25;-0,11
10,420;0,25;-0,13
